"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Children's literature, English--21st century--History and criticism","general term","017048028","Monograph","Language material ; Text","Volume","","","9785000440865","Kapkova, S. I︠U︡ (Svetlana I︠U︡rʹevna)","","person","author","Blake, Quentin [person] ; Kapkova, S. I︠U︡ (Svetlana I︠U︡rʹevna), author [person] ; Voronezhskiĭ gosudarstvennyĭ pedagogicheskiĭ universitet [organisation]","Tendent︠s︡ii sovremennoĭ komicheskoĭ i ėkst︠s︡entricheskoĭ angliĭskoĭ detskoĭ literatury : monografii︠a︡","Teнденции современной комической и эксцентрической английской детской литературы : монография","","","Russia","Voronezh ; Воронеж","Voronezhskiĭ gosudarstvennyĭ pedagogicheskiĭ universitet ; Воронежский государственный педагогический университет","2013","","100 pages, cover illustrations, 21 cm","","YF.2015.a.5237","","English ; Russian","At head of title: Voronezhskiĭ gosudarstvennyĭ pedagogicheskiĭ universitet","",""
"Children's literature, English--Periodicals","general term","013056178","Serial","Language material ; Text","Volume","GBA530053","","","","","","","","The magical world of Roald Dahl","","","","England","Cromwell Road, London SW7 2HR ; London","Eaglemoss","2005-","","volumes, colour illustrations, colour portraits, 32 x 43 cm + collectors cards","823.914","Cup.937/862","Periodical","English","Magazine comes in cardboard folder. Some issues come with miniature charm","",""
"Children's literature, English--Translations into Spanish--History and criticism","general term","013080997","Monograph","Language material ; Text","Volume","","","9788497730822","González Cascallana, Belén","","person","","González Cascallana, Belén [person]","Translation and intertextuality : a descriptive study of contemporary British children fantasy literature in Spain (1970-2000)","","Serie Tesis doctorales (Universidad de León)","","Spain","León","Universidad de León, Secretariado de Publicaciones y Medios Audiovisuales","2003","","37, xi, 510 pages, 24 cm","","YD.2005.a.3828","","English ; Spanish","","",""
"Children's literature--Study and teaching (Elementary)","general term","011371563","Monograph","Language material ; Text","Volume","GBA249731","","9780866537445","Palumbo, Thomas J.","","person","","Palumbo, Thomas J. [person]","Integrating the literature of Roald Dahl in the classroom","","","","England ; United Kingdom","Torrance, California","Good Apple","1993","","iv, 172 pages, illustrations, 28 cm","372.64044","YK.2002.b.3556","","English","","",""
"Children's plays","general term","018529322","Monograph","Language material ; Text","Online resource","GBB7I2884","","9780141328843","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Roald Dahl's The witches : plays for children","","","","England","London","Puffin","2001","","62 pages, illustrations","822.914","ELD.DS.196155","Children's fiction ; Fiction","English","","",""
"Children's plays, American","general term","009053781","Monograph","Language material ; Text","Volume","GBA206078","","9780140314649","Dahl, Roald","","person","","George, Richard R. [person] ; Dahl, Roald [person]","Roald Dahl's James and the giant peach : a play","James and the giant peach","","","England","London","Puffin","2001","","91 pages, 20 cm","","","","English","Cover title: James and the giant peach","",""
"Children's plays, American","general term","011929403","Monograph","Language material ; Text","Volume","GB8340408","","9780140314649","George, Richard R.","","person","","George, Richard R. [person] ; Dahl, Roald [person]","Roald Dahl's James and the giant peach : a play","James and the giant peach","","","England","Harmondsworth","Puffin","1982","","91 pages, illustrations, 20 cm","812.54","X.990/21013","","English","","",""
"Children's plays, American","general term","018365224","Monograph","Language material ; Still image ; Text","Volume","GBB790785","","9780141374291","George, Richard R.","","person","author","George, Richard R., author [person] ; Dahl, Roald [person]","James and the giant peach : the play","James and the giant peach ; Roald Dahl's James and the giant peach","","","England","London","Puffin","2017","","vii, 80 pages, black and white illustrations, 20 cm","812.54","YC.2018.a.13151","","English","Originally published as: Roald Dahl's James and the giant peach. Harmondsworth, Middlesex, England : Penguin books, 1982","",""
"Children's plays, American","general term","018513921","Monograph","Language material ; Text","Online resource","GBB7H4000","","9780141957128","George, Richard","","person","","Dahl, Roald [person] ; George, Richard [person]","Roald Dahl's Charlie and the chocolate factory : a play","Charlie and the chocolate factory","","","England","London","Penguin","1979","","1 online resource (89 pages), illustrations","812.54","ELD.DS.185784","Drama","English","'Puffin books'","",""
"Children's plays, American","general term","018513922","Monograph","Language material ; Text","Online resource","GBB7H4001","","9780141957142","George, Richard R.","","person","","George, Richard R. [person] ; Dahl, Roald [person]","Roald Dahl's James and the giant peach : a play","James and the giant peach","","","England ; United States of America","Harmondsworth, Middlesex ; New York","Penguin","1982","","1 online resource (91 pages), illustrations","812.54","ELD.DS.185785","","English","'Puffin books'","",""
"Children's plays, English","general term","010073950","Monograph","Language material ; Text","Volume","GBA357292","","9780573051333","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Samuel French","2003","","43 pages, 22 cm","822.92","YK.2003.a.16960","Drama","English","","",""
"Children's plays, English","general term","013057850","Monograph","Language material ; Text","Volume","GBA487096","","9780573051388","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","James and the giant peach, by Roald Dahl","James and the giant peach","","","England","London","Samuel French","2004","","51 pages, 22 cm","822.914","YK.2006.a.9922","","English","","",""
"Children's plays, English","general term","013575704","Monograph","Language material ; Text","Volume","GBA691623","","9780573150166","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Danny the champion of the world","","","","England","London","Samuel French","2006","","70 pages, 22 cm","822.914","YK.2009.a.3725","","English","","",""
"Children's plays, English","general term","015438273","Monograph","Language material ; Text","Volume","GBA9B9869","","9780573051258","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","The Twits","Twits","","","England","London","Samuel French","2000","","43 pages, 22 cm","822.914","YC.2010.a.2247","Drama","English","","",""
"Children's plays, English","general term","018365221","Monograph","Language material ; Text","Volume","GBB790782","","9780141374260","George, Richard R.","","person","author","George, Richard R., author [person] ; Dahl, Roald [person]","Charlie and the chocolate factory : the play","Charlie and the chocolate factory","","","England","London","Puffin","2017","","76 pages, illustrations, 20 cm","822.92","YKL.2018.a.16096","Drama","English","","",""
"Children's plays, English","general term","018365222","Monograph","Language material ; Still image ; Text","Volume","GBB790783","","9780141374277","Wood, David","1944-","person","author","Wood, David, 1944-, author [person] ; Dahl, Roald [person]","Danny the champion of the world : the plays","Danny the champion of the world","","","England","London","Puffin","2017","","145 pages, illustrations, 20 cm","822.914","YKL.2018.a.16262","","English","Originally published: London: Puffin, 2009","",""
"Children's plays, English","general term","018365223","Monograph","Language material ; Text","Volume","GBB790784","","9780141374284","Reid, Sally","","person","author","Reid, Sally, author [person] ; Dahl, Roald [person]","Fantastic Mr Fox : the play","Fantastic Mister Fox ; Fantastic Mr Fox ; Roald Dahl's Fantastic Mr Fox","","","England","London","Puffin","2017","","vii, 59 pages, black and white illustrations, 20 cm","822.914","YC.2018.a.13123","Drama","English","Originally published as: Roald Dahl's Fantastic Mr Fox. London : Puffin books, 1987","",""
"Children's plays, English","general term","018365225","Monograph","Language material ; Still image ; Text","Volume","GBB790786","","9780141374307","Wood, David","1944-","person","author","Walmsley, Jane, illustrator [person] ; Wood, David, 1944-, author [person] ; Dahl, Roald [person]","The BFG : the plays","BFG ; Roald Dahl's The BFG","","","England","London","Puffin","2017","","113 pages, black and white illustrations, 20 cm","822.914","YKL.2018.a.16040","","English","Originally published: as Roald Dahl's The BFG. 1993","",""
"Children's plays, English","general term","018365226","Monograph","Language material ; Still image ; Text","Volume","GBB790787","","9780141374314","Wood, David","1944-","person","author","Wood, David, 1944-, author [person] ; Dahl, Roald [person]","The Twits : the plays","Roald Dahl's The twits ; Twits","","","England","London","Puffin","2017","","xi, 106 pages, black and white illustrations, 20 cm","822.914","YC.2018.a.13161","","English","Originally published as: Roald Dahl's The twits. 2003","",""
"Children's plays, English","general term","018365227","Monograph","Language material ; Text","Volume","GBB790788","","9780141374321","Wood, David","1944-","person","author","Wood, David, 1944-, author [person] ; Dahl, Roald [person]","The witches : the plays","Witches","","","England","London","Puffin","2017","","ix, 115 pages, 20 cm","822.914","YKL.2018.a.16011","Drama","English","","",""
